noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
5872a17b-44fb-4261-96de-d8513acb1c67,01,LOT-0001,cpv,90511000,90512000,
1ac5b191-c43e-4f22-9002-0d527b55fcd2,01,,cpv,35821000,35821000,
1ac5b191-c43e-4f22-9002-0d527b55fcd2,01,LOT-0000,cpv,35821000,35821000,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,,cpv,39110000,39130000,
c04ac815-abf6-4327-b5a9-43ba95631cae,01,LOT-0001,cpv,39110000,39130000,
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,,cpv,90911200,90911300,
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,LOT-0000,cpv,90911200,90911300,
4d11e71f-98dd-451f-b082-d5af534b3236,01,,cpv,71322000,,
4d11e71f-98dd-451f-b082-d5af534b3236,01,LOT-0001,cpv,71322000,,
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,,cpv,45422000,"39180000,39160000",
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,cpv,45422000,"39180000,39160000",
5bace31b-17d6-4672-a429-62870fd8e5a5,01,,cpv,34130000,"34142100,34134000",
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0001,cpv,34130000,,
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0002,cpv,34130000,,
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0003,cpv,34130000,,
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0004,cpv,34130000,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0001,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0002,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0003,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0004,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0005,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0006,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0007,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0008,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0009,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0010,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0011,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0012,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0013,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0014,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0015,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0016,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0017,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0018,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0019,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0020,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0021,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0022,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0023,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0024,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0025,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0026,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0027,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0028,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0029,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0030,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0031,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0032,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0033,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0034,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0035,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0036,cpv,71222200,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0037,cpv,71222200,,
eca54e1b-066b-4624-9b25-52c469e4b387,01,,cpv,90713000,,
eca54e1b-066b-4624-9b25-52c469e4b387,01,LOT-0001,cpv,90713000,,
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,,cpv,76300000,,
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,LOT-0001,cpv,76300000,,
31817d6c-02a0-4088-8949-b5a7f9edc13e,01,,cpv,90400000,,
31817d6c-02a0-4088-8949-b5a7f9edc13e,01,LOT-0000,cpv,90400000,,
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,,cpv,45214210,"44211100,44211000",
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,LOT-0001,cpv,45214210,"44211100,44211000",
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,,cpv,45331000,,
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,cpv,45331000,,
f1f4f430-22aa-4217-9c09-8d7d94a5516c,01,,cpv,42620000,,
f1f4f430-22aa-4217-9c09-8d7d94a5516c,01,LOT-0001,cpv,42620000,,
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,,cpv,71327000,,
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,LOT-0001,cpv,71327000,,
0154f570-03d0-4766-90ab-501c3e9c9727,01,,cpv,45213331,"45213250,45300000,71240000",
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,cpv,45213331,"45213250,45300000,71240000",
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,,cpv,71300000,,
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0001,cpv,71327000,,
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0002,cpv,71300000,"71321200,71321300,71321400",
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0003,cpv,71300000,,
ea96b9d2-128d-4482-bda5-b62255a3569c,01,,cpv,33196000,,
ea96b9d2-128d-4482-bda5-b62255a3569c,01,PAR-0001,cpv,33196000,,
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,,cpv,71356400,"71320000,71321000",
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,LOT-0001,cpv,71356400,"71320000,71321000",
e43bf811-04c1-4456-a92e-b8059fc60905,01,,cpv,71320000,"71000000,71200000,71300000",
e43bf811-04c1-4456-a92e-b8059fc60905,01,LOT-0000,cpv,71320000,"71000000,71200000,71300000",
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,,cpv,45210000,,
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,LOT-0001,cpv,45210000,,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,,cpv,90620000,90630000,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,LOT-0001,cpv,90620000,90630000,
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,,cpv,45422000,,
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,cpv,45422000,,
2f51da30-ace1-438c-87f3-d453fea657eb,01,,cpv,45432113,,
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,cpv,45432113,,
89a419d8-3f95-4702-993f-d8beec8f6caa,01,,cpv,39141100,,
89a419d8-3f95-4702-993f-d8beec8f6caa,01,LOT-0001,cpv,39141100,,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,,cpv,45261100,45422000,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,cpv,45261100,45422000,
f9130abe-6656-41ee-90e5-fa88244bc975,01,,cpv,34144213,"35110000,44480000,34139100",
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0001,cpv,34139100,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0002,cpv,34144213,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0003,cpv,35110000,44480000,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0004,cpv,35110000,44480000,
0e1e53c6-2e9a-43e0-b379-157699a278b1,01,,cpv,72268000,"72267100,72512000,48311000",
0e1e53c6-2e9a-43e0-b379-157699a278b1,01,PAR-0000,cpv,72268000,"72267100,72512000,48311000",
99e8a48e-55be-4c76-b600-3777e7cba28e,01,,cpv,60112000,,
99e8a48e-55be-4c76-b600-3777e7cba28e,01,LOT-0001,cpv,60112000,,
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,,cpv,90513400,,
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,LOT-0001,cpv,90513400,,
db17c97d-c656-41ab-a10b-25b187f9f62b,01,,cpv,72253200,,
db17c97d-c656-41ab-a10b-25b187f9f62b,01,LOT-0001,cpv,72253200,,
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,,cpv,45113000,,
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,LOT-0000,cpv,45113000,,
d108fbfa-8380-49ee-89d5-e5b47b1b8533,01,,cpv,35000000,"44482100,35113000",
d108fbfa-8380-49ee-89d5-e5b47b1b8533,01,LOT-0001,cpv,35000000,"44482100,35113000",
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,,cpv,45420000,44112310,
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,cpv,45420000,44112310,
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,,cpv,34144000,"34144210,35110000,35111000",
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0001,cpv,34144000,34144210,
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0002,cpv,35110000,35111000,
f2f288d1-4d81-4487-abf7-c6bd0c996e22,01,,cpv,71000000,"71300000,71310000,71320000,71327000,71240000",
f2f288d1-4d81-4487-abf7-c6bd0c996e22,01,LOT-0001,cpv,71000000,"71300000,71310000,71320000,71240000,71327000",
d66220d5-2fb6-4e0a-b885-ebd544cee9e6,01,,cpv,60000000,,
d66220d5-2fb6-4e0a-b885-ebd544cee9e6,01,LOT-0001,cpv,60000000,,
00d958fa-1508-46e7-8b03-2e3cfab170a4,01,,cpv,71310000,"71600000,71000000",
00d958fa-1508-46e7-8b03-2e3cfab170a4,01,LOT-0001,cpv,71310000,"71600000,71000000",
68799396-9c0b-41bc-84f6-3c646b99051e,01,,cpv,45331210,,
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,cpv,45331200,,
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,,cpv,45313100,,
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,LOT-0001,cpv,45313100,,
