noticeIdentifier,noticeVersion,tenderIdentifier,lotIdentifier,tenderValue,tenderValueCurrency,tenderPaymentValue,tenderPaymentValueCurrency,tenderPenalties,tenderPenaltiesCurrency,tenderRank,concessionRevenueUser,concessionRevenueUserCurrency,concessionRevenueBuyer,concessionRevenueBuyerCurrency,countryOrigin
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,TEN-0001,LOT-0002,,,,,,,,,,,,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,TEN-0002,LOT-0001,,,,,,,,,,,,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,TEN-0001,LOT-0002,,,,,,,,,,,,
4c566805-3ed7-43b2-8ce1-71ad7da16729,01,TEN-0001,LOT-0000,,,,,,,,,,,,
403a86dd-da15-41c7-934d-8cb2d71dfc0e,01,TEN-0001,LOT-0000,,,,,,,,,,,,
01a3c317-3099-4370-8c57-b8578c02eec7,01,TEN-0001,LOT-0001,553346.04,EUR,,,,,,,,,,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,TEN-0001,LOT-0001,,,,,,,,,,,,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,TEN-0002,LOT-0002,,,,,,,,,,,,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,TEN-0001,LOT-0001,122960.00,EUR,,,,,,,,,,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,TEN-0002,LOT-0002,123700.34,EUR,,,,,,,,,,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,TEN-0003,LOT-0003,228900.00,EUR,,,,,,,,,,
5024b561-9182-4174-8d54-bee71dd951b7,01,TEN-0001,LOT-0001,,,,,,,,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,TEN-0000,LOT-0001,999940.81,EUR,,,,,1,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,TEN-0001,LOT-0002,7637176.75,EUR,,,,,1,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,TEN-0002,LOT-0003,361856.33,EUR,,,,,1,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,TEN-0001,LOT-0001,,,,,,,,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,TEN-0002,LOT-0002,,,,,,,,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,TEN-0003,LOT-0003,,,,,,,,,,,,
f3dbf992-f72d-453e-91fa-e4875a88efd7,01,TEN-0000,LOT-0001,225344,EUR,,,,,1,,,,,
697d148e-d366-4d4c-a115-5476bbf2f0ac,01,TEN-0000,LOT-0001,1665052.86,EUR,,,,,1,,,,,
28dac269-fd17-419e-afc3-18b5e18ac138,01,TEN-0001,LOT-0001,29650.00,EUR,,,,,,,,,,
19472414-7e91-4b88-ac14-f8a29741a6f5,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
c804d707-ce16-4d9e-a0ff-1fc1acf61105,01,TEN-0001,LOT-0001,22546.41,EUR,,,,,,,,,,
7b8f6aaa-7500-4a2b-8907-776408f3a189,01,TEN-0001,LOT-0001,,,,,,,,,,,,
ff280699-9dcb-44bd-9cc0-5be2fb8bc31d,01,TEN-0001,LOT-0001,41632.65,EUR,,,,,,,,,,
87865198-cdf9-4dd6-bd2d-f1e92723c465,01,TEN-0001,LOT-0001,0,EUR,,,,,1,,,,,
22ada15a-2249-4bd4-a671-8e8897670f68,01,TEN-0001,LOT-0001,0,EUR,,,,,1,,,,,
1dea86c8-4d21-4e3f-99ef-0c7b9affc2f3,01,TEN-0001,LOT-0001,389798.08,EUR,,,,,,,,,,
fa3b2024-c9bd-45dc-89a1-59df6965bc46,01,TEN-0001,LOT-0001,255806.04,EUR,,,,,,,,,,
ab1a2196-3b3e-400c-88a6-8b410e918be1,01,TEN-0001,LOT-0001,1998231.41,EUR,,,,,,,,,,
89cb5b35-440d-4641-86a9-c4d96eb3adc6,01,TEN-0000,LOT-0000,180164.52,EUR,,,,,,,,,,
1d7eb9ce-d42c-41f0-a4f3-1cc0c4d87e20,01,TEN-0001,LOT-0000,,,,,,,,,,,,
d44abc03-50f0-4083-aab5-466efac05753,01,TEN-0001,LOT-0000,,,,,,,,,,,,
40c92953-19e6-4dd6-beac-39c302fd25cc,01,TEN-0000,LOT-0000,0,EUR,,,,,,,,,,
49d4a12a-7b77-437a-a031-1d1260b427a4,01,TEN-0001,LOT-0001,1,EUR,,,,,,,,,,
49272a08-0469-437d-bf1f-ba641417f443,01,TEN-0001,LOT-0000,,,,,,,,,,,,
20176d84-f18c-4068-b17c-d013cf0cfe0f,01,TEN-0000,LOT-0000,40990,EUR,,,,,,,,,,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,TEN-0002,LOT-0001,51489.56,EUR,,,,,,,,,,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,TEN-0001,LOT-0002,1750.39,EUR,,,,,,,,,,
9ad7cb70-56ac-4e93-ad85-e249a639d263,01,TEN-0001,LOT-0000,258937.39,EUR,,,,,1,,,,,
2a892d69-436e-4ab9-b235-22191b2a0817,01,TEN-0001,LOT-0001,398335.63,EUR,,,,,,,,,,
0a1d2ce8-8ee7-4d56-a411-9ddfdfcad7f9,01,TEN-0001,LOT-0000,,,,,,,,,,,,
a9485f5f-9d7f-4d89-b14e-948fc88864b9,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,TEN-0002,LOT-0002,0,EUR,,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,TEN-0003,LOT-0003,0,EUR,,,,,,,,,,
bba1b515-3a6b-4be6-9618-db66267d5f72,01,TEN-0001,LOT-0000,,,,,,,,,,,,
2063f8a7-8d9a-4395-9834-8ab5d4a62d1d,01,TEN-0001,LOT-0000,38297.78,EUR,,,,,,,,,,
5d6248d2-bbeb-4359-8df1-2c2b5dfe2de7,01,TEN-0001,LOT-0000,,,,,,,,,,,,
f1f7f1b8-2e26-45ae-bb75-30766d4f2c89,01,TEN-0001,LOT-0000,,,,,,,,,,,,
f964782e-bf72-4c36-bf5f-035b9b1ed8f3,01,TEN-0001,LOT-0000,,,,,,,,,,,,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,TEN-0002,LOT-0001,,,,,,,,,,,,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,TEN-0001,LOT-0002,,,,,,,,,,,,
0b0cee46-7028-48a3-ab93-706252419a34,01,TEN-0001,LOT-0001,1,EUR,,,,,,,,,,
abae6b4a-5a2e-4a62-a6e8-61a0d99ac0f0,01,TEN-0001,LOT-0000,63950.72,EUR,,,,,,,,,,
eb6cb358-277f-463a-a7b6-10419bb6b2b5,01,TEN-0001,LOT-0001,2419981.67,EUR,,,,,,,,,,
ba79a82e-ba20-40d5-a701-698daf07eeb9,01,TEN-0000,LOT-0000,900000,EUR,,,,,,,,,,
892cd313-409d-4d28-89fb-e9c5c15b141b,01,TEN-0000,LOT-0000,235666.28,EUR,,,,,,,,,,
e4219d9f-af23-4f38-8d05-842a51bb2395,01,TEN-0001,LOT-0000,,,,,,,,,,,,
7cba3224-ed9b-4557-912a-b89e03238035,01,TEN-0002,LOT-0001,,,,,,,,,,,,
7cba3224-ed9b-4557-912a-b89e03238035,01,TEN-0001,LOT-0002,,,,,,,,,,,,
ead3b499-cf64-4888-823d-7737ad787045,01,TEN-0001,LOT-0000,134680.00,EUR,,,,,,,,,,
9b92da70-5f05-4da6-8f36-63c00ccc4bfd,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
7bbe3e4a-e8f3-4ce7-8fac-f9899a31ebc0,01,TEN-0001,LOT-0001,396610.01,EUR,,,,,,,,,,
415228ba-c998-4c5b-a88e-4badc9d2e4dc,01,TEN-0001,LOT-0000,0.01,EUR,,,,,1,,,,,
01a0a3dd-0de3-4c82-9bff-894ee83e347d,01,TEN-0001,LOT-0001,840000,EUR,,,,,,,,,,
a673c7df-5a09-4230-a1f0-8c32c383c6a7,01,TEN-0001,LOT-0001,,,,,,,,,,,,
63ced94b-e3ff-42f0-9b7c-b0a68e642465,01,TEN-0001,LOT-0001,,,,,,,,,,,,
63ced94b-e3ff-42f0-9b7c-b0a68e642465,01,TEN-0002,LOT-0001,,,,,,,,,,,,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,TEN-0003,LOT-0001,251580.69,EUR,,,,,,,,,,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,TEN-0001,LOT-0002,68950.94,EUR,,,,,,,,,,
