noticeIdentifier,noticeVersion,noticeValue,noticeValueCurrency,noticeFrameworkValue,noticeFrameworkValueCurrency
aa9e8b24-c04d-428d-bc89-8f1066e28c35,01,,,0,EUR
5dbbe2be-5c22-4c3b-8923-6a3e9f4aa280,01,,,,
a3358992-2707-49b2-822c-dcf07304f3b0,01,503482.56,EUR,,
fb411cf6-4291-4ab1-9080-fb014f9a9c64,01,69300.91,EUR,,
4d643fae-3e36-4698-9988-0d3e35879d8f,01,,,,
aecb6364-67b5-456f-ba2e-6dce58f64b21,01,378403.5,EUR,,
bcb96a9b-2bd2-46b3-b7a6-dbe4b1a6fd26,01,,,,
02251263-d5d8-4ccf-bb46-d4ef31ac41c5,01,0,EUR,,
e5945add-25b2-4c37-ade8-426440996759,01,,,,
dc63569a-abdf-47f2-9210-616091d369de,01,,,,
4b78a193-a1fc-423c-8a38-0694dfd95972,01,,,,
091398e0-7d25-4871-911c-9da98bd731fd,01,,,,
a137db0e-224a-4bd9-86d4-5bb3b3404d4e,01,531757.71,EUR,,
01a08f76-3858-4723-afdc-294aca37ffad,01,3899860.89,EUR,,
b37b8634-91f0-43a1-9a0b-524aae0ee02e,01,15445964.06,EUR,,
b01a3281-c302-440d-aa3a-0b3d7b665cea,01,,,,
1799fd7d-d455-45ec-84b3-f267bdf5d0e2,01,660000.00,EUR,,
b502151c-0762-47f1-9b93-a51f389045d2,01,,,,
68395e6d-ee88-4b84-b477-68e4396c6059,01,0,EUR,,
b77e9652-6802-4103-a4e1-af42fab8cb9d,01,0.01,EUR,,
52f6371b-39cc-4ec2-8721-e0b6e4e41699,01,368910.52,EUR,,
03e2ee12-213d-4a93-9e86-fa369290166f,01,2461941.27,EUR,,
dee2c291-4257-440e-99c7-cdfab455b60a,01,1642090.80,EUR,,
bdf2df03-ecca-4e4a-834a-8c169022bab7,01,8064817.02,EUR,,
7005d76c-7d7c-4ac2-aad2-e48d7745a287,01,5926611.55,EUR,,
2446e1a7-8dc7-4593-b2d7-3260e7e86389,01,,,,
3de46702-3005-4272-9212-60a743a822bf,01,439086.40,EUR,,
dfd696de-b38c-4233-9db9-86a8b768feb4,01,,,,
5e5c519f-e67b-43bd-aff3-fb2f08bf4814,01,39271,EUR,,
5a91aec9-aee6-4c00-809a-5ac8845a61ec,01,,,,
1b4499e0-c0e0-4052-976b-908f05d646fa,01,,,471000,EUR
7844bb7e-551c-4b80-8e27-efa3b24aeb75,01,,,1860000,EUR
d80782ed-7a0d-4d7b-9d1b-76c7cfbc136d,01,756804.26,EUR,,
ec4d8be1-1960-40c4-976d-87eb381e9f1e,01,0,EUR,,
6c6fd5da-2d81-4cd1-9b7a-4f9af163c766,01,,,,
b9edd57c-869d-46a1-9b2f-e4d784c599f8,01,468568.08,EUR,,
cc0b1993-24c7-49b8-965b-2d87b7d6b61f,01,,,,
7d420b5a-d751-4e71-8250-e817a7c35bc9,01,172642.65,EUR,,
de46f8cc-3e1b-45a8-a1fb-b0c56e7a468d,01,,,,
0f40a536-3868-4c78-8710-e1a04df5dfdc,01,0,EUR,,
acb8340a-bc54-4982-bae7-7945179d4c5e,02,228930,EUR,,
8b68c9cd-becc-4aae-b266-0d8fd532adde,02,0,EUR,,
169c17c4-4961-4faf-b265-cf241ade7b03,02,0,EUR,,
8abc6569-ea2c-47c4-9535-5f7d00210f64,02,0,EUR,,
ebf0316c-dc1d-4aff-9f0c-9601ef0834b6,02,0,EUR,,
9a8868e4-d7bb-4015-8909-1bf3484af77f,01,,,,
10ab646d-012a-4acd-9d41-d2d5927addbb,01,325910,EUR,,
91690441-2088-4e96-99df-2b8ad32e5a1b,01,0,EUR,,
ee3a9d8e-fe1e-4949-9e4a-4e9c190918de,01,213213.11,EUR,,
6626a339-d511-4a4c-b0a7-54a84a14e72e,01,,,,
e7ffd4a2-72f0-4c60-b831-c4b32143062c,01,1109995.76,EUR,,
9affc1f7-f387-4b6c-b221-a24ee46c41c6,01,1,EUR,,
d28f5c90-99bc-44f6-ab7f-b559d95655ec,01,152198.96,EUR,,
0ef9519d-3c29-4818-a4de-74d9d2fafdd5,01,0.00,EUR,,
d6edcf37-85e7-4c5d-aadd-631777267c50,01,,,,
afd9f95e-cfc5-4aa3-9657-683dc982242e,01,0,EUR,,
bd789d45-0e90-47dc-bc95-938462f0599d,01,0,EUR,,
c14fa2a8-76dc-437b-bf6c-bd43c83bb3c9,01,1294914.90,EUR,,
f313e41a-4633-4ba7-b1be-e4a4adc5eb12,01,143996.36,EUR,,
77dd412a-f4af-4b1f-bc1b-77bcaf09e031,01,0,EUR,,
f67484c6-0ea9-45ec-98f4-f1afe4c46ecf,01,313757.02,EUR,,
43f1eed3-92c4-4888-a2ae-b1de0485dec9,01,,,,
cba98c7f-e41f-4ab9-81b8-7a3319fc583a,01,,,,
43e6cc1d-3b21-45dd-9238-1a0c606cbdac,01,,,,
6f3b35b2-71c9-4abb-a5de-426cf16e85d8,01,,,,
7ee8c71e-6e5c-48b4-bbd0-68c027e3724d,01,164480.36,EUR,,
2339bde4-829b-43aa-b216-c75c2496c85f,01,245803.46,EUR,,
f543cff6-5e02-459b-9d43-6a78f2f61da8,01,,,6260.63,EUR
fddd9d32-d79e-4c0e-b40e-8d14b7ca2629,01,375276.60,EUR,,
d4619e7b-8b9e-4a4f-a8e2-fa3fbe3dcb44,01,103250.00,EUR,,
7b584af3-cd7a-4fa9-be87-2fa6755c77f4,01,209603.60,EUR,,
c4e11c05-c40c-401c-b0f0-a479f42067b7,01,364389.00,EUR,,
193c6052-b39c-4044-9fec-9669ee69dfd8,01,854991.49,EUR,,
3c3b2519-5588-45d3-a0ca-9d0e5dada4ce,01,,,,
8bc44cd7-7b10-4f1d-84b6-c2b84c99bd77,01,,,,
39451e83-34bc-4104-841d-204bcaf0bfb1,01,1315688.63,EUR,,
08738828-2406-4dee-b294-31c6c16f7568,01,,,,
fffa5d0a-0257-4e98-b6e8-6a182061357d,01,3945474.24,EUR,,
ca24ac0c-3c27-491e-a1e7-908958fd804d,01,277500.00,EUR,,
f38209f9-e539-4f4b-a401-83eb750ae9df,01,0.01,EUR,,
0430fc54-6625-452c-aaf0-0a8cbd97d010,01,0,EUR,,
da4582b1-8a28-481e-83a6-878d3f239556,01,0,EUR,,
47e9847c-09f7-46c9-8624-15b5de8a8f62,01,0,EUR,,
e6363aeb-0f90-4733-b245-4001b55ec7e6,01,,,,
8ddab506-cf1b-4137-8c4e-d9def6330a29,01,,,,
e2adf39c-21d6-4694-b513-9f76df32f968,01,,,,
dbcf653b-8029-4098-a109-9b62fa738deb,01,321175.40,EUR,,
d18415b2-37c4-4bb8-bca6-73e36fa44adf,01,77664,EUR,,
763c3a53-9692-49bb-add0-43db1fd0f91d,01,1644367.5,EUR,,
6b0f4674-e061-4675-a513-14d54862e182,01,99629.72,EUR,,
95906661-a883-4219-9c5f-e89d254ce70b,01,0,EUR,,
f9402825-f213-40c8-8453-1ad29277d8f7,01,,,,
8af347ed-e0b4-414f-8662-44a1be1556e0,01,57887.50,EUR,,
20133507-4613-4ebd-95da-8a2f57f0d895,01,,,,
638de82a-f853-4b99-b7f6-276f72d8f122,01,,,,
dd8c3ec5-5ab2-46cc-b703-5ad9f5ae6000,01,,,,
a72e859e-1800-4833-813a-9247ffdf31e7,01,,,6591200.00,EUR
49715446-c1da-4691-9ef4-4f898af7c008,01,317137.88,EUR,,
4c8b8d25-5ca8-4a24-af95-19a6f5a0b651,01,,,,
48ad93c1-a5ef-48ec-b699-689d0bc29a11,01,,,,
8eece87c-c8ed-4c58-8424-4bfc2e480153,01,,,,
a01b6767-8cce-49dc-b347-29b2254182ba,01,,,1001.00,EUR
ea0e049a-a32c-4310-aeb3-6f1f61ea8b6c,01,,,,
443b1f65-33e9-470e-a0d4-bdfbe75a3894,01,,,,
58eb916b-42e7-4bae-a968-f2441fbbdf8e,01,,,,
5b4b6b5d-0392-497a-9434-6a4c80f1c9ed,01,,,,
6567e7d7-a73f-4743-95cc-1d79924e3da6,01,0,EUR,,
455f167a-a4f5-4731-9358-f35e7a72bbd8,01,176486.76225061045,EUR,,
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,3257940.00,EUR,,
5bb66845-fee5-49e6-b2c8-f3077fa3ed32,01,,,8250112.00,EUR
5efadda4-49d5-4acd-b026-868aa4239f3f,01,259300.00,EUR,,
2ab32f0d-71a0-48ea-b7ce-574864ea9f96,01,,,6260.63,EUR
19567368-13c7-4717-8adf-135ddae9aea6,01,0,EUR,,
a6cbee04-9b79-44b1-bc02-954157bf1acc,01,,,,
325cac3c-ba5f-4058-8524-ec5a6b5562c7,01,,,,
4466d3d1-354c-4dfd-80f1-470c81110cc7,01,156440.00,EUR,,
a450274a-fe7c-4dc9-99e0-a78b2904e3dd,01,,,,
d9ab1893-476e-41db-ad82-62adfc75f439,01,3556040.68,EUR,,
1cbc2be9-77e9-4ffa-9a20-800fad6e93c3,01,162649.18,EUR,,
a5a8d359-ffca-4d30-8c7f-1be5e578381a,01,29640.00,EUR,,
cbc38ace-ae5a-48fb-826f-0e56e65dcf44,01,308850.00,EUR,,
cc2d829a-34b8-48aa-a872-94a33787ac01,01,,,,
af662d6d-6dd9-47a9-b947-69930e5be98a,01,110663.00,EUR,,
76a4abec-70c6-4ed9-84f2-9cc496ac0c8d,01,0,EUR,,
b8ee89a5-dff2-4f48-8e18-3179c15c7176,01,,,,
508ca28a-585d-4af7-ae3e-01f3b25617b3,01,,,,
b96be751-fb7a-4b0e-8c51-95cf2f0b6932,01,,,,
2cffc857-8981-4b4c-b243-57cfade63ceb,01,,,,
f439fc31-d3e0-4ed6-b2be-171c7602f2de,01,203317.76,EUR,,
1ab5d1a7-fe8d-419a-9db7-79d39fe0c7e2,01,313367.00,EUR,,
ff2104f9-1865-47f2-9eb6-492ec5350a0f,01,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,206680.70,EUR,,
4c0e180b-bc9a-43e6-bac7-35fc4082df54,01,3457515.65,EUR,,
ce81ab80-ec22-4e38-96c7-a762aaf4761a,01,707546.00,EUR,,
154276a1-4b77-4421-affc-870c5617d15b,01,,,,
8bb86434-f323-438c-b410-688eea1e9382,01,,,,
b225ac0d-7f96-4f8c-b700-3633e085621c,01,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,939305,EUR,,
e79bb7f2-a797-4169-abb8-05686d80f70c,01,637200.00,EUR,,
9fab6856-357f-44cb-a8f7-1b3a015751da,01,,,,
1bc79d4d-4082-437e-9e3a-1e7a5bfcbe89,01,1.00,EUR,,
ea6b8124-9d3e-47b1-8200-425ac8a738d0,01,,,,
cf7fd649-8c6c-4db7-aeaa-8b6adf173b11,01,,,,
069f2e57-7452-4eec-8c81-59e0faf49d5e,01,,,,
c1fccf1b-9a52-4960-a3e3-1066df557382,01,290528.24,EUR,,
26f1848e-d8d5-4ae3-8b0c-6dca3e4bee79,01,15341011.29,EUR,,
0d06762e-e42a-44c3-96ef-618a5fa055fd,01,160971.26,EUR,,
56833ea5-58df-41b1-8b93-69c32e3b776d,01,,,,
89f97a08-7e7c-47ff-a36b-8cf22b175cac,01,,,,
255a6420-e1db-4b4a-bd00-02847c49b7bd,01,,,,
fef55906-ff0b-49ed-baed-06312268141a,01,201057.74,EUR,,
6a072c36-ff4e-4e01-9d2f-c3849aff79cd,01,0,EUR,,
ea8f1a43-9513-41a0-8a4d-0cd582862db3,01,232272.00,EUR,,
ea399951-3dbe-4ef5-bed6-49aca30291ac,01,,,,
d54ec781-962f-409c-a82b-f09e4e169ca3,01,96503.00,EUR,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,0.01,EUR,,
57ece606-117a-426d-a888-4af660b56f3e,01,,,,
29c7ca20-b67c-40b2-87ac-9686db66acaa,01,,,,
f0c5d53b-9cb6-47fe-9daf-310dfde71f38,01,,,,
5b6d92e9-a4ab-4d47-90c0-342cc5774de2,01,297171.35,EUR,,
aac2dd05-c839-4c68-baeb-784225a7c0be,01,0,EUR,,
56123ce9-7570-44f8-898c-ccbf61ddfdba,01,708809.20,EUR,,
a4cd7a04-bb82-447d-80ff-207898189a11,01,,,,
3747dc6f-9c33-4dc6-83af-6504813c09b1,01,0,EUR,,
3446a559-15f9-491b-8476-6d32e4154c93,01,208567.00,EUR,,
1e8e8e86-5c2f-497f-9865-460e2e1cb375,01,0,EUR,,
a00511c6-9a64-4118-811c-0f238982651a,01,0,EUR,,
381fc019-557a-4388-a9a4-a8e7afcb1741,01,,,,
fad97142-b443-4bd9-b7aa-c486345187b3,01,,,,
db18829c-a80e-45d8-bacf-cf1745f3b6d5,01,0,EUR,,
51971ae6-9e49-4e37-ae18-5812dd49561d,01,1254882.03,EUR,,
54760ccf-db92-421d-bbc0-d3a3052c6575,01,0,EUR,,
f51cf9c9-f534-4b55-b11e-79c7e00fc1b2,01,,,3279989.00,EUR
29715cba-4b1c-4a79-a013-53b23c164720,01,7656000.00,EUR,,
1c27c316-9b14-4594-907e-d95f38ed204e,01,,,,
