noticeIdentifier,noticeVersion,lotIdentifier,procedureLotResultNumber,winnerChosen,notAwardedReason,frameworkMaximumValue,frameworkMaximumValueCurrency,frameworkEstimatedValue,frameworkEstimatedValueCurrency,tenderValueLowest,tenderValueLowestCurrency,tenderValueHighest,tenderValueHighestCurrency
c4745a16-5769-4144-a01f-0802676c2ac0,01,LOT-0001,0,selec-w,,1875000.00,EUR,1500000.00,EUR,,,,
63de9706-6f8e-416b-9d0c-617396a34c87,01,LOT-0000,0,,,,,,,,,,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,LOT-0001,0,selec-w,,,,,,,,,
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,LOT-0001,0,clos-nw,other,,,,,,,,
29c52430-b029-4424-8ca7-24374715bf58,01,LOT-0000,0,selec-w,,,,,,,,,
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0001,0,selec-w,,,,,,124000.00,EUR,124000.00,EUR
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0002,1,clos-nw,all-rej,,,,,,,,
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,LOT-0001,0,selec-w,,,,,,,,,
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,LOT-0000,0,selec-w,,,,,,,,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0001,0,selec-w,,,,,,,,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0002,1,selec-w,,,,,,,,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,LOT-0001,0,selec-w,,,,,,,,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,LOT-0002,1,selec-w,,,,,,,,,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,LOT-0001,0,selec-w,,,,,,,,,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,LOT-0002,1,selec-w,,,,,,,,,
4c566805-3ed7-43b2-8ce1-71ad7da16729,01,LOT-0000,0,,,,,,,,,,
403a86dd-da15-41c7-934d-8cb2d71dfc0e,01,LOT-0000,0,selec-w,,,,,,,,,
01a3c317-3099-4370-8c57-b8578c02eec7,01,LOT-0001,0,selec-w,,,,,,,,,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,LOT-0001,0,selec-w,,,,,,,,,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,LOT-0002,1,selec-w,,,,,,,,,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0001,0,selec-w,,,,,,122960.00,EUR,245344.30,EUR
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0002,1,selec-w,,,,,,123700.34,EUR,132570.00,EUR
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0003,2,selec-w,,,,,,228900.00,EUR,244830.00,EUR
5024b561-9182-4174-8d54-bee71dd951b7,01,LOT-0001,0,selec-w,,,,,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0001,0,selec-w,,,,,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0002,1,selec-w,,,,,,,,,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0003,2,selec-w,,,,,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0001,0,selec-w,,,,,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0002,1,selec-w,,,,,,,,,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0003,2,selec-w,,,,,,,,,
f3dbf992-f72d-453e-91fa-e4875a88efd7,01,LOT-0001,0,selec-w,,,,,,,,,
697d148e-d366-4d4c-a115-5476bbf2f0ac,01,LOT-0001,0,selec-w,,,,,,,,,
28dac269-fd17-419e-afc3-18b5e18ac138,01,LOT-0001,0,selec-w,,,,,,,,,
19472414-7e91-4b88-ac14-f8a29741a6f5,01,LOT-0001,0,,,,,,,,,,
c804d707-ce16-4d9e-a0ff-1fc1acf61105,01,LOT-0001,0,selec-w,,,,,,,,,
7b8f6aaa-7500-4a2b-8907-776408f3a189,01,LOT-0001,0,,,,,,,,,,
ff280699-9dcb-44bd-9cc0-5be2fb8bc31d,01,LOT-0001,0,selec-w,,,,,,,,,
87865198-cdf9-4dd6-bd2d-f1e92723c465,01,LOT-0001,0,,,,,,,,,,
22ada15a-2249-4bd4-a671-8e8897670f68,01,LOT-0001,0,,,,,,,,,,
1dea86c8-4d21-4e3f-99ef-0c7b9affc2f3,01,LOT-0001,0,selec-w,,,,,,389798.08,EUR,619397.00,EUR
fa3b2024-c9bd-45dc-89a1-59df6965bc46,01,LOT-0001,0,selec-w,,,,,,123880.00,EUR,343624.00,EUR
ab1a2196-3b3e-400c-88a6-8b410e918be1,01,LOT-0001,0,selec-w,,,,,,,,,
89cb5b35-440d-4641-86a9-c4d96eb3adc6,01,LOT-0000,0,,,,,,,,,,
1d7eb9ce-d42c-41f0-a4f3-1cc0c4d87e20,01,LOT-0000,0,selec-w,,,,,,,,,
d44abc03-50f0-4083-aab5-466efac05753,01,LOT-0000,0,selec-w,,,,,,,,,
40c92953-19e6-4dd6-beac-39c302fd25cc,01,LOT-0000,0,,,,,,,,,,
