noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
671a062d-0e72-4040-807f-446ce257be29,01,,Solingen,42563,DEA19,DEU
671a062d-0e72-4040-807f-446ce257be29,01,LOT-0001,Solingen,42563,DEA19,DEU
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,,Halle Saale,06108,DEE02,DEU
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,LOT-0000,Halle Saale,06108,DEE02,DEU
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,,Erfurt,99094,DEG01,DEU
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,LOT-0001,Erfurt,99094,DEG01,DEU
13749400-50bc-453b-af41-538d48435248,01,,Frankfurt Am Main,60528,DE712,DEU
13749400-50bc-453b-af41-538d48435248,01,LOT-0001,Frankfurt Am Main,60528,DE712,DEU
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,,,.,DE722,DEU
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0001,,.,DE722,DEU
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0002,,.,DE722,DEU
46665f56-3961-43b7-9815-fee8452fef01,01,,,,,DEU
46665f56-3961-43b7-9815-fee8452fef01,01,LOT-0001,,,,DEU
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,,Bad Salzungen,36433,DEG0R,DEU
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,LOT-0001,Bad Salzungen,36433,DEG0R,DEU
441bf2d2-b2ab-4701-85af-025a1d352a34,01,,Neustadt (Wied),53577,DEB18,DEU
441bf2d2-b2ab-4701-85af-025a1d352a34,01,LOT-0001,Neustadt (Wied),53577,DEB18,DEU
5872a17b-44fb-4261-96de-d8513acb1c67,01,,Rommerskirchen,41569,DEA1D,DEU
5872a17b-44fb-4261-96de-d8513acb1c67,01,LOT-0001,Rommerskirchen,41569,DEA1D,DEU
1ac5b191-c43e-4f22-9002-0d527b55fcd2,01,,,,,DEU
1ac5b191-c43e-4f22-9002-0d527b55fcd2,01,LOT-0000,,,,DEU
c04ac815-abf6-4327-b5a9-43ba95631cae,01,,Duisburg,,DEA12,DEU
c04ac815-abf6-4327-b5a9-43ba95631cae,01,,Essen,,DEA13,DEU
c04ac815-abf6-4327-b5a9-43ba95631cae,01,LOT-0001,Duisburg,,DEA12,DEU
c04ac815-abf6-4327-b5a9-43ba95631cae,01,LOT-0001,Essen,,DEA13,DEU
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,,München,80937,DE212,DEU
