noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,"Amt für Stadtentwicklung, Steinheim an der Murr",Leitweg-ID 18448070-A6301-43,Steinheim an der Murr,71711,DE115,DEU,http://www.stadt-steinheim.de/bauen-gewerbe-umwelt/ausschreibungen/oeffentliche-ausschreibungen,,buyer,,koerp-oer-kommun,,,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,Magistrat der Stadt Bremerhaven vertreten durch den Wirtschaftsbetrieb Seestadt Immobilien,unbekannt,Bremerhaven,27576,DE502,DEU,www.seestadt-immobilien.de,,buyer,,kommun-beh,,,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,"Vergabekammer Bremen bei der Senatorin für Klimaschutz,, Mobilität, Stadtentwicklung und Wohnungsbau",unbekannt,Bremen,28195,DE502,DEU,https://vergabe.bremen.de/NetServer/,,reviewer,,,,,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,"Vergabekammer der Freien Hansestadt Bremen bei der Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",keine Angabe,Bremen,28195,DE502,DEU,https://vergabe.bremen.de/NetServer/,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,Oberlandesgericht Dresden,ohne,Dresden,01067,DED21,DEU,https://www.justiz.sachsen.de/olg,,buyer,,koerp-oer-land,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1. Vergabekammer des Freistaates Sachsen bei der Landesdirektion Sachsen,unbekannt,Leipzig,04107,DED51,DEU,https://www.lds.sachsen.de/index.asp?ID=4421&art_param=363,,reviewer,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,1. Vergabekammer des Freistaates Sachsen bei der Landesdirektion Sachsen,nicht bekannt,Leipzig,04107,DED51,DEU,https://www.lds.sachsen.de/index.asp?ID=4421&art_param=363,,,,,,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,Media Logistik GmbH,DE 140 296 345,Dresden,01157,DED21,DEU,,,tenderer,,,,medium,,False
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,MEDIA Logistik Service GmbH & Co. KG,DE 256 057 019,Chemnitz,09113,DED41,DEU,,,tenderer,,,,medium,,False
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,LVZ Post GmbH,DE141515733,Leipzig,04159,DED51,DEU,,,tenderer,,,,medium,,False
381330e9-a9a0-4bc7-a13c-dcca11451662,01,EWN Entsorgungswerk für Nuklearanlagen GmbH,19b3be90-12e8-4654-a09c-4d9332a460ea,Rubenow,17509,DE80N,DEU,https://www.ewn-gmbh.de,,buyer,https://portal.deutsche-evergabe.de,pub-undert-cga,,,,
381330e9-a9a0-4bc7-a13c-dcca11451662,01,Bundeskartellamt - Vergabekammern des Bundes,dd0a3a75-ce02-4ec8-8ecf-c4c7fc642dcf,Bonn,53123,DEA22,DEU,http://www.bundeskartellamt.de,,reviewer,,,,,,
381330e9-a9a0-4bc7-a13c-dcca11451662,01,EWN Entsorgungswerk für Nuklearanlagen GmbH,ee183970-975a-43ea-8c4d-e278f22bea3e,Rubenow,17509,DE80N,DEU,,,,,,,,,
fcd29cc5-5683-4216-98b9-bce47074c29b,01,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. - Einkauf B12 - Vergabestelle Bau,DE129515865,München,80686,DE212,DEU,https://vergabe.fraunhofer.de/,,buyer,https://vergabe.fraunhofer.de/NetServer/,org-sub,,,,
fcd29cc5-5683-4216-98b9-bce47074c29b,01,Vergabekammern des Bundes,t:022894990,Bonn,53113,DEA22,DEU,,,reviewer,,,,,,
fcd29cc5-5683-4216-98b9-bce47074c29b,01,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,DE 129515865,München,80686,DE212,DEU,https://www.fraunhofer.de,,,,,,,,
55e88b1c-8f87-4059-a5e7-b883f368db49,01,Stadt Kremmen,12-121014993885230-02,Kremmen,16766,DE40A,DEU,http://www.kremmen.de,,buyer,,koerp-oer-kommun,,,,
55e88b1c-8f87-4059-a5e7-b883f368db49,01,"Vergabekammer des Landes Brandenburg beim Ministerium für Wirtschaft, Arbeit und Energie",t:03318661719,Potsdam,14473,DE404,DEU,https://mwae.brandenburg.de,,reviewer,,,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,IKW Rüdersdorf GmbH,USt. ID: DE 310804968,Potsdam,14467,DE404,DEU,https://www.danpower.de,,buyer,,org-sub,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,"Vergabekammer des Landes Brandenburg beim Ministerium für Wirtschaft, Arbeit und Energie",t:03318661719,Potsdam,14473,DE404,DEU,,,reviewer,,,,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,BLS Energieplan GmbH,DE179719725,Berlin,10829,DE300,DEU,,False,winner,,,,medium,,False
c321c95c-20c6-4bbc-827b-02d8b709daea,01,Gemeinsame Kommunale Datenzentrale Recklinghausen,055620032032-34001-16,Recklinghausen,45665,DEA36,DEU,,,buyer,,koerp-oer-kommun,,,,
c321c95c-20c6-4bbc-827b-02d8b709daea,01,Vergabekammer Westfalen,05515-03004-07,Münster,48147,DEA33,DEU,http://www.bezreg-muenster.nrw.de/de/wirtschaft_finanzen_kommunalaufsicht/vergabekammer_westfalen/index.html,,reviewer,,,,,,
