noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,LOT-0001,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,LOT-0001,
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,True
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,True
89a419d8-3f95-4702-993f-d8beec8f6caa,01,LOT-0001,
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,False
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0001,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0002,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0003,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0004,
0e1e53c6-2e9a-43e0-b379-157699a278b1,01,PAR-0000,False
99e8a48e-55be-4c76-b600-3777e7cba28e,01,LOT-0001,True
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,LOT-0001,
db17c97d-c656-41ab-a10b-25b187f9f62b,01,LOT-0001,True
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,LOT-0000,
d108fbfa-8380-49ee-89d5-e5b47b1b8533,01,LOT-0001,False
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,False
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0001,True
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0002,True
f2f288d1-4d81-4487-abf7-c6bd0c996e22,01,LOT-0001,True
d66220d5-2fb6-4e0a-b885-ebd544cee9e6,01,LOT-0001,False
00d958fa-1508-46e7-8b03-2e3cfab170a4,01,LOT-0001,True
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,True
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,LOT-0001,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,True
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,False
38598773-63fb-48eb-b6aa-a255ff4040fa,01,LOT-0001,True
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,LOT-0001,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,
c4745a16-5769-4144-a01f-0802676c2ac0,01,LOT-0001,
de9b5ae4-c01d-4d0c-acfa-5a1de3ff16a4,01,LOT-0001,False
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0001,False
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0002,False
f6da07ed-feae-40a5-9eac-0aa287f95e78,01,LOT-0000,True
6f7f8e44-08f4-4d44-9904-cd2117e84eee,01,LOT-0001,True
63de9706-6f8e-416b-9d0c-617396a34c87,01,LOT-0000,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,LOT-0001,
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,LOT-0001,
fb71ece0-27b2-42e6-8bcd-e8707b08ac24,01,LOT-0000,False
29c52430-b029-4424-8ca7-24374715bf58,01,LOT-0000,
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0001,
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0002,
4ad66f02-72eb-45a0-95b6-68f73ee7e093,01,LOT-0001,False
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,LOT-0001,
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,LOT-0001,False
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,LOT-0002,True
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0001,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0002,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0003,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0004,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0005,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0006,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0007,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0008,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0009,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0010,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0011,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0012,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0013,False
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0014,False
4e332a71-bcc9-4ecd-8802-5dbb477b85e3,01,LOT-0001,False
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,LOT-0000,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,LOT-0001,False
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0001,
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0002,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,LOT-0001,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,LOT-0002,
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,LOT-0001,
